datetime,high,low,close
2023/9/20,4378,4333,4337
2023/9/21,4335,4225,4253
2023/9/22,4270,4156,4174
2023/9/25,4154,4056,4109
2023/9/26,4194,4092,4104
2023/9/27,4110,3828,3937
2023/9/28,4088,3891,3970
2023/10/9,4031,3712,3796
2023/10/10,3748,3650,3650
2023/10/11,3800,3650,3800
2023/10/12,3660,3660,3660
2023/10/13,3720,3720,3720
2023/10/16,3720,3720,3720
2023/10/17,3720,3720,3720
2023/10/18,4014,3975,3981
2023/10/19,3992,3922,3945
2023/10/20,3940,3904,3913
2023/10/23,3920,3872,3905
2023/10/24,3945,3882,3925
2023/10/25,3936,3909,3930
2023/10/26,3996,3959,3968
2023/10/27,3972,3938,3953
2023/10/30,3973,3936,3970
2023/10/31,4040,3956,4040
2023/11/1,4045,3903,3968
2023/11/2,4026,3968,4002
2023/11/3,4013,3977,3996
2023/11/6,4030,4013,4028
2023/11/7,4054,3988,4038
2023/11/8,4027,3990,3992
2023/11/9,4030,3968,4030
2023/11/10,4066,4002,4026
2023/11/13,4059,4027,4052
2023/11/14,4079,4026,4041
2023/11/15,4040,4022,4033
2023/11/16,4135,4065,4106
2023/11/17,4170,4070,4167
2023/11/20,4173,4122,4139
2023/11/21,4155,4121,4146
2023/11/22,4189,4125,4149
2023/11/23,4159,4042,4117
2023/11/24,4102,4022,4102
2023/11/27,4129,4071,4128
2023/11/28,4155,4085,4128
2023/11/29,4177,4119,4160
2023/11/30,4197,4149,4167
2023/12/1,4153,4062,4119
2023/12/4,4161,4120,4156
2023/12/5,4370,4150,4293
2023/12/6,4298,4180,4180
2023/12/7,4218,4136,4211
2023/12/8,4347,4226,4288
2023/12/11,4330,4240,4275
2023/12/12,4338,4271,4299
2023/12/13,4307,4227,4279
2023/12/14,4287,4142,4176
2023/12/15,4211,4158,4185
2023/12/18,4206,4160,4160
2023/12/19,4229,4158,4226
2023/12/20,4228,4190,4206
2023/12/21,4254,4196,4206
2023/12/22,4209,4170,4181
2023/12/25,4228,4150,4150
2023/12/26,4133,4055,4062
2023/12/27,4111,4025,4062
2023/12/28,4115,4032,4063
2023/12/29,4097,4050,4050
2024/1/2,4290,3931,4090
2024/1/3,4250,4250,4250
2024/1/4,4250,4250,4250
2024/1/5,4226,4185,4208
2024/1/8,4206,4168,4169
2024/1/9,4153,4106,4144
2024/1/10,4280,4133,4185
2024/1/11,4194,4085,4122
2024/1/12,4125,4016,4088
2024/1/15,4315,4096,4117
2024/1/16,4175,4031,4093
2024/1/17,4120,4041,4075
2024/1/18,4103,4057,4073
2024/1/19,4146,4049,4137
2024/1/22,4149,4106,4119
2024/1/23,4124,4084,4096
2024/1/24,4127,4100,4115
2024/1/25,4135,4111,4133
2024/1/26,4208,4134,4182
2024/1/29,4181,4141,4155
2024/1/30,4185,4140,4168
2024/1/31,4174,4110,4121
2024/2/1,4120,4070,4092
2024/2/2,4140,4070,4074
2024/2/5,4078,4001,4031
2024/2/6,4057,4001,4035
2024/2/7,4056,4020,4039
2024/2/8,4110,4020,4045
2024/2/19,4067,4040,4052
2024/2/20,4091,4035,4069
2024/2/21,4085,4035,4043
2024/2/22,4164,4010,4105
2024/2/23,4128,4074,4084
2024/2/26,4098,4050,4078
2024/2/27,4078,4015,4036
2024/2/28,4082,4036,4069
2024/2/29,4075,4017,4025
2024/3/1,4061,3982,4050
2024/3/4,4052,4021,4030
2024/3/5,4044,4009,4030
2024/3/6,4046,3991,3999
2024/3/7,3985,3941,3966
2024/3/8,3997,3952,3961
2024/3/11,3968,3941,3954
2024/3/12,3925,3876,3884
2024/3/13,3920,3887,3904
2024/3/14,3927,3897,3899
2024/3/15,3914,3818,3818
2024/3/18,3832,3791,3832
2024/3/19,3823,3692,3811
2024/3/20,3910,3794,3879
2024/3/21,3897,3850,3871
2024/3/22,3899,3860,3894
2024/3/25,3905,3845,3883
2024/3/26,3905,3841,3860
2024/3/27,3891,3812,3823
2024/3/28,3825,3751,3774
2024/3/29,3799,3750,3760
2024/4/1,3755,3700,3709
2024/4/2,3713,3632,3686
2024/4/3,3764,3684,3753
2024/4/8,3788,3712,3722
2024/4/9,3766,3719,3760
2024/4/10,3781,3762,3777
2024/4/11,3777,3744,3744
2024/4/12,3830,3733,3794
2024/4/15,3880,3780,3864
2024/4/16,3895,3678,3807
2024/4/17,3811,3760,3783
2024/4/18,3848,3770,3831
2024/4/19,3870,3816,3860
2024/4/22,3865,3836,3837
2024/4/23,3838,3810,3826
2024/4/24,3824,3804,3806
2024/4/25,3843,3777,3812
2024/4/26,3856,3770,3774
2024/4/29,3824,3716,3736
2024/4/30,3824,3666,3712
2024/5/6,3785,3453,3455
2024/5/7,3500,3460,3500
2024/5/8,4032,3915,3929
2024/5/9,3932,3880,3906
2024/5/10,3900,3860,3874
2024/5/13,3968,3773,3846
2024/5/14,3903,3815,3903
2024/5/15,3904,3857,3863
2024/5/16,3876,3832,3859
2024/5/17,3915,3848,3898
2024/5/20,3953,3900,3934
2024/5/21,4029,3966,3998
2024/5/22,4060,3909,4006
2024/5/23,4275,4002,4204
2024/5/24,4146,3950,4000
2024/5/27,4051,4000,4010
2024/5/28,4028,3983,3988
2024/5/29,4030,3980,3984
2024/5/30,3993,3962,3981
2024/5/31,4039,3972,3982
2024/6/3,3976,3908,3953
2024/6/4,3941,3873,3890
2024/6/5,3897,3873,3880
2024/6/6,3891,3867,3868
2024/6/7,3907,3864,3902
2024/6/11,3922,3879,3887
2024/6/12,3899,3841,3843
2024/6/13,3859,3843,3853
2024/6/14,3865,3826,3853
2024/6/17,3901,3857,3898
2024/6/18,3870,3820,3840
2024/6/19,3872,3837,3861
2024/6/20,3877,3838,3842
2024/6/21,3864,3831,3852
2024/6/24,3866,3768,3796
2024/6/25,3783,3730,3739
2024/6/26,3746,3725,3741
2024/6/27,3765,3737,3765
2024/6/28,3767,3743,3749
2024/7/1,3755,3710,3738
2024/7/2,3759,3722,3749
2024/7/3,3775,3758,3761
2024/7/4,3827,3731,3816
2024/7/5,3832,3787,3795
2024/7/8,3793,3750,3754
2024/7/9,3759,3690,3691
2024/7/10,3705,3672,3683
2024/7/11,3685,3655,3660
2024/7/12,3708,3660,3692
2024/7/15,3719,3690,3692
2024/7/16,3716,3681,3688
2024/7/17,3687,3673,3679
2024/7/18,3698,3630,3636
2024/7/19,3623,3596,3608
2024/7/22,3616,3581,3595
2024/7/23,3595,3567,3573
2024/7/24,3587,3521,3521
2024/7/25,3533,3507,3519
2024/7/26,3507,3346,3363
2024/7/29,3430,3386,3408
2024/7/30,3408,3356,3382
2024/7/31,3365,3290,3290
2024/8/1,3410,3296,3350
2024/8/2,3391,3335,3350
2024/8/5,3385,3334,3384
2024/8/6,3457,3326,3433
2024/8/7,3505,3381,3463
2024/8/8,3469,3337,3337
2024/8/9,3357,3290,3309
2024/8/12,3331,3247,3274
2024/8/13,3274,3208,3235
2024/8/14,3260,3187,3225
2024/8/15,3195,3102,3110
2024/8/16,3129,3060,3104
2024/8/19,3157,3090,3097
2024/8/20,3170,3089,3158
2024/8/21,3268,3150,3217
2024/8/22,3261,3191,3245
2024/8/23,3245,3174,3180
2024/8/26,3192,3153,3154
2024/8/27,3234,3192,3219
2024/8/28,3289,3210,3248
2024/8/29,3286,3245,3260
2024/8/30,3262,3180,3196
2024/9/2,3283,3101,3185
2024/9/3,3284,3150,3150
2024/9/4,3150,3150,3150
2024/9/5,3150,3150,3150
2024/9/6,3150,3150,3150
2024/9/9,3150,3150,3150
2024/9/10,3150,3150,3150
2024/9/11,3050,2883,3050
2024/9/12,3050,3050,3050
2024/9/13,2966,2966,2966
2024/9/18,2966,2966,2966
2024/9/19,2966,2966,2966
2024/9/20,3588,3502,3565
2024/9/23,3585,3489,3489
2024/9/24,3465,3411,3434
2024/9/25,3560,3369,3536
2024/9/26,3611,3460,3513
2024/9/27,3495,3420,3459
2024/9/30,3459,3341,3450
2024/10/8,3639,3503,3639
2024/10/9,3882,3750,3777
2024/10/10,3788,3745,3751
2024/10/11,3799,3700,3700
2024/10/14,3761,3718,3748
2024/10/15,3815,3765,3787
2024/10/16,3862,3666,3775
2024/10/17,3795,3750,3750
2024/10/18,3798,3562,3609
2024/10/21,3712,3600,3692
2024/10/22,3718,3630,3645
2024/10/23,3645,3527,3572
2024/10/24,3594,3517,3520
2024/10/25,3577,3505,3556
2024/10/28,3579,3546,3564
2024/10/29,3725,3596,3700
2024/10/30,3730,3668,3685
2024/10/31,3756,3692,3726
2024/11/1,3737,3674,3674
2024/11/4,3672,3622,3642
2024/11/5,3671,3625,3655
2024/11/6,3715,3647,3674
2024/11/7,3663,3622,3633
2024/11/8,3693,3633,3672
2024/11/11,3698,3618,3618
2024/11/12,3613,3530,3547
2024/11/13,3573,3547,3573
2024/11/14,3604,3571,3580
2024/11/15,3587,3540,3582
